Sequence,Time,File,RangeOffset,RangeLength,Text,Language,Type
1480,6514672,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1481,6521722,"exercises/medium/ex9-reverse-string.js",0,0,"function reverseString(str) {\n  /* take a string as input and return it reversed Example: ""hello"" -> ""olleh"" */\n}\n\nfor(i = 0; i > str.length; i++){\n  \n}\nmodule.exports = reverseString;\n",javascript,tab
1482,6523040,"exercises/medium/ex4-dice-roller.js",0,0,"function rollDice() {\n  /* return a random number between 1 and 6, simulating a dice roll */\n\n  return Math.random * (6 - 1) + 1;\n}\n\nmodule.exports = rollDice;\n",javascript,tab
1483,6525164,"exercises/medium/ex4-dice-roller.js",122,1,"",javascript,content
1484,6525198,"exercises/medium/ex4-dice-roller.js",122,0,"0",javascript,content
1485,6528005,"exercises/medium/ex4-dice-roller.js",122,1,"",javascript,content
1486,6529560,"exercises/medium/ex4-dice-roller.js",122,0,"1",javascript,content
1487,6530788,"exercises/medium/ex4-dice-roller.js",118,1,"",javascript,content
1488,6531262,"exercises/medium/ex4-dice-roller.js",118,0,"7",javascript,content
1489,6533496,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1490,6539299,"exercises/medium/ex4-dice-roller.js",0,0,"function rollDice() {\n  /* return a random number between 1 and 6, simulating a dice roll */\n\n  return Math.random * (7 - 1) + 1;\n}\n\nmodule.exports = rollDice;\n",javascript,tab
1491,6548123,"exercises/medium/ex4-dice-roller.js",115,13,"",javascript,content
1492,6549547,"exercises/medium/ex4-dice-roller.js",114,1,"",javascript,content
1493,6587760,"exercises/medium/ex9-reverse-string.js",0,0,"function reverseString(str) {\n  /* take a string as input and return it reversed Example: ""hello"" -> ""olleh"" */\n}\n\nfor(i = 0; i > str.length; i++){\n  \n}\nmodule.exports = reverseString;\n",javascript,tab
1494,6605014,"exercises/medium/ex9-reverse-string.js",148,2,"",javascript,content
1494,6605014,"exercises/medium/ex9-reverse-string.js",148,2,"",javascript,content
1495,6605014,"exercises/medium/ex9-reverse-string.js",128,1,"",javascript,content
1496,6605246,"exercises/medium/ex9-reverse-string.js",128,0,"<",javascript,content
1497,6606989,"exercises/medium/ex9-reverse-string.js",148,0,"  ",javascript,content
1498,6608004,"exercises/medium/ex9-reverse-string.js",150,0,"  ",javascript,content
1499,6616110,"exercises/medium/ex9-reverse-string.js",148,4,"",javascript,content
1499,6616110,"exercises/medium/ex9-reverse-string.js",148,4,"",javascript,content
1500,6616110,"exercises/medium/ex9-reverse-string.js",146,0,"\n  ",javascript,content
1501,6617520,"exercises/medium/ex9-reverse-string.js",152,0,"  ",javascript,content
1502,6619149,"exercises/medium/ex9-reverse-string.js",147,2,"",javascript,content
1502,6619149,"exercises/medium/ex9-reverse-string.js",147,2,"",javascript,content
1503,6619150,"exercises/medium/ex9-reverse-string.js",146,1,"",javascript,content
1504,6621385,"exercises/medium/ex9-reverse-string.js",148,0,"  ",javascript,content
1505,6622038,"exercises/medium/ex9-reverse-string.js",150,0,"  ",javascript,content
1506,6626113,"exercises/medium/ex9-reverse-string.js",152,0,"l",javascript,content
1507,6626172,"exercises/medium/ex9-reverse-string.js",153,0,"e",javascript,content
1508,6626389,"exercises/medium/ex9-reverse-string.js",154,0,"t",javascript,content
1509,6626557,"exercises/medium/ex9-reverse-string.js",155,0," ",javascript,content
1510,6626789,"exercises/medium/ex9-reverse-string.js",155,1,"",javascript,content
1511,6626931,"exercises/medium/ex9-reverse-string.js",154,1,"",javascript,content
1512,6627068,"exercises/medium/ex9-reverse-string.js",153,1,"",javascript,content
1513,6627565,"exercises/medium/ex9-reverse-string.js",152,1,"",javascript,content
1514,6632501,"exercises/medium/ex9-reverse-string.js",115,41,"",javascript,content
1515,6634156,"exercises/medium/ex9-reverse-string.js",111,0,"\n  ",javascript,content
1515,6634156,"exercises/medium/ex9-reverse-string.js",111,0,"\n  ",javascript,content
1516,6634157,"exercises/medium/ex9-reverse-string.js",114,0,"for(i = 0; i < str.length; i++){\n    \n  }",javascript,content
1517,6635961,"exercises/medium/ex9-reverse-string.js",151,0,"l",javascript,content
1518,6636042,"exercises/medium/ex9-reverse-string.js",152,0,"e",javascript,content
1519,6636251,"exercises/medium/ex9-reverse-string.js",153,0,"t",javascript,content
1520,6636430,"exercises/medium/ex9-reverse-string.js",154,0," ",javascript,content
1521,6638413,"exercises/medium/ex9-reverse-string.js",154,1,"",javascript,content
1522,6638535,"exercises/medium/ex9-reverse-string.js",153,1,"",javascript,content
1523,6638644,"exercises/medium/ex9-reverse-string.js",152,1,"",javascript,content
1524,6639241,"exercises/medium/ex9-reverse-string.js",151,1,"",javascript,content
1525,6640301,"exercises/medium/ex9-reverse-string.js",111,0,"\n  ",javascript,content
1526,6640686,"exercises/medium/ex9-reverse-string.js",114,0,"l",javascript,content
1527,6641401,"exercises/medium/ex9-reverse-string.js",115,0,"e",javascript,content
1528,6641620,"exercises/medium/ex9-reverse-string.js",116,0,"t",javascript,content
1529,6646731,"exercises/medium/ex9-reverse-string.js",117,0," ",javascript,content
1530,6647175,"exercises/medium/ex9-reverse-string.js",118,0,"s",javascript,content
1531,6647273,"exercises/medium/ex9-reverse-string.js",119,0,"t",javascript,content
1532,6647600,"exercises/medium/ex9-reverse-string.js",120,0,"r",javascript,content
1533,6648641,"exercises/medium/ex9-reverse-string.js",118,3,"str",javascript,content
1534,6651680,"exercises/easy/ex6-name-screamer.js",0,0,"function screamName(name) {\n  /* take a name as input and return it in ALL CAPS with exclamation marks */\n   let nam = prompt (""Name?"");\n   name = nam.toUpperCase + '!!!';\n   return name;\n}\n\nmodule.exports = screamName;\n",javascript,tab
1535,6655101,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n  let obj = {\n    ibj: {},\n    arr: [],\n    sig: ""this is a string"",\n    num: 5,\n    boo: false,\n    n : null,\n    und : undefined,\n    an: NaN\n  }\n\n  typeof obj.ibj;\n  typeof obj.arr;\n  typeof obj.sig;\n  typeof obj.num;\n  typeof obj.boo;\n  typeof obj.n;\n  typeof obj.und;\n  typeof obj.an;\n    \n   \n   \n  \n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
1536,6656559,"exercises/easy/ex6-name-screamer.js",0,0,"function screamName(name) {\n  /* take a name as input and return it in ALL CAPS with exclamation marks */\n   let nam = prompt (""Name?"");\n   name = nam.toUpperCase + '!!!';\n   return name;\n}\n\nmodule.exports = screamName;\n",javascript,tab
1537,6657392,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n  let obj = {\n    ibj: {},\n    arr: [],\n    sig: ""this is a string"",\n    num: 5,\n    boo: false,\n    n : null,\n    und : undefined,\n    an: NaN\n  }\n\n  typeof obj.ibj;\n  typeof obj.arr;\n  typeof obj.sig;\n  typeof obj.num;\n  typeof obj.boo;\n  typeof obj.n;\n  typeof obj.und;\n  typeof obj.an;\n    \n   \n   \n  \n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
1538,6781600,"exercises/easy/ex2-type-checker.js",229,0," ",javascript,content
1539,6782274,"exercises/easy/ex2-type-checker.js",230,0,"t",javascript,content
1540,6782432,"exercises/easy/ex2-type-checker.js",231,0,"y",javascript,content
1541,6782651,"exercises/easy/ex2-type-checker.js",232,0,"p",javascript,content
1542,6782807,"exercises/easy/ex2-type-checker.js",233,0,"e",javascript,content
1543,6783824,"exercises/easy/ex2-type-checker.js",234,0,"o",javascript,content
1544,6783925,"exercises/easy/ex2-type-checker.js",235,0,"f",javascript,content
1545,6788429,"exercises/easy/ex2-type-checker.js",250,0,"typeof",javascript,content
1546,6789520,"exercises/easy/ex2-type-checker.js",269,0,"typeof",javascript,content
1547,6790604,"exercises/easy/ex2-type-checker.js",304,0,"typeof",javascript,content
1548,6791484,"exercises/easy/ex2-type-checker.js",322,0,"typeof",javascript,content
1549,6792465,"exercises/easy/ex2-type-checker.js",344,0,"typeof",javascript,content
1550,6793294,"exercises/easy/ex2-type-checker.js",344,6,"",javascript,content
1551,6795289,"exercises/easy/ex2-type-checker.js",343,0,"typeof",javascript,content
1552,6796694,"exercises/easy/ex2-type-checker.js",365,0,"typeof",javascript,content
1553,6797182,"exercises/easy/ex2-type-checker.js",371,0," ",javascript,content
1554,6798259,"exercises/easy/ex2-type-checker.js",349,0," ",javascript,content
1555,6801176,"exercises/easy/ex2-type-checker.js",328,0," ",javascript,content
1556,6802437,"exercises/easy/ex2-type-checker.js",310,0," ",javascript,content
1557,6803594,"exercises/easy/ex2-type-checker.js",276,0," ",javascript,content
1558,6804479,"exercises/easy/ex2-type-checker.js",276,1,"",javascript,content
1559,6806031,"exercises/easy/ex2-type-checker.js",275,0," ",javascript,content
1560,6810895,"exercises/easy/ex2-type-checker.js",395,0,"typeof",javascript,content
1561,6811228,"exercises/easy/ex2-type-checker.js",401,0," ",javascript,content
1562,6814309,"exercises/easy/ex2-type-checker.js",413,138,"",javascript,content
1563,6815202,"exercises/easy/ex2-type-checker.js",413,0,"r",javascript,content
1564,6815372,"exercises/easy/ex2-type-checker.js",414,0,"e",javascript,content
1565,6815533,"exercises/easy/ex2-type-checker.js",415,0,"u",javascript,content
1566,6815588,"exercises/easy/ex2-type-checker.js",416,0,"t",javascript,content
1567,6816086,"exercises/easy/ex2-type-checker.js",417,0,"n",javascript,content
1567,6816086,"exercises/easy/ex2-type-checker.js",417,0,"n",javascript,content
1568,6816086,"exercises/easy/ex2-type-checker.js",418,0,"r",javascript,content
1569,6816244,"exercises/easy/ex2-type-checker.js",418,1,"",javascript,content
1570,6816369,"exercises/easy/ex2-type-checker.js",417,1,"",javascript,content
1571,6816487,"exercises/easy/ex2-type-checker.js",416,1,"",javascript,content
1572,6817488,"exercises/easy/ex2-type-checker.js",415,1,"",javascript,content
1573,6817851,"exercises/easy/ex2-type-checker.js",415,0,"t",javascript,content
1574,6817952,"exercises/easy/ex2-type-checker.js",416,0,"u",javascript,content
1575,6818039,"exercises/easy/ex2-type-checker.js",417,0,"r",javascript,content
1576,6818105,"exercises/easy/ex2-type-checker.js",418,0,"n",javascript,content
1577,6818188,"exercises/easy/ex2-type-checker.js",419,0," ",javascript,content
1578,6818720,"exercises/easy/ex2-type-checker.js",420,0,"o",javascript,content
1579,6818946,"exercises/easy/ex2-type-checker.js",421,0,"b",javascript,content
1580,6819099,"exercises/easy/ex2-type-checker.js",422,0,"j",javascript,content
1581,6819186,"exercises/easy/ex2-type-checker.js",423,0," ",javascript,content
1582,6821990,"exercises/easy/ex2-type-checker.js",423,1,"",javascript,content
1583,6822459,"exercises/easy/ex2-type-checker.js",423,0,";",javascript,content
1584,6822541,"exercises/easy/ex2-type-checker.js",424,0," ",javascript,content
1585,6827633,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1586,6834515,"exercises/easy/ex6-name-screamer.js",0,0,"function screamName(name) {\n  /* take a name as input and return it in ALL CAPS with exclamation marks */\n   let nam = prompt (""Name?"");\n   name = nam.toUpperCase + '!!!';\n   return name;\n}\n\nmodule.exports = screamName;\n",javascript,tab
1587,6835164,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n  let obj = {\n    ibj: typeof {},\n    arr: typeof[],\n    sig: typeof ""this is a string"",\n    num: typeof 5,\n    boo: typeof false,\n    n : typeof null,\n    und : typeof undefined,\n    an: typeof NaN\n  }\n\n  return obj; \n    \n   \n   \n  \n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
1588,6845095,"exercises/easy/ex2-type-checker.js",256,0," ",javascript,content
1589,6851343,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1590,6856451,"exercises/easy/ex6-name-screamer.js",0,0,"function screamName(name) {\n  /* take a name as input and return it in ALL CAPS with exclamation marks */\n   let nam = prompt (""Name?"");\n   name = nam.toUpperCase + '!!!';\n   return name;\n}\n\nmodule.exports = screamName;\n",javascript,tab
1591,6857348,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n  let obj = {\n    ibj: typeof {},\n    arr: typeof [],\n    sig: typeof ""this is a string"",\n    num: typeof 5,\n    boo: typeof false,\n    n : typeof null,\n    und : typeof undefined,\n    an: typeof NaN\n  }\n\n  return obj; \n    \n   \n   \n  \n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
1592,6873113,"exercises/easy/ex2-type-checker.js",256,1,"",javascript,content
1593,6873592,"exercises/easy/ex2-type-checker.js",424,1,"",javascript,content
1594,6873647,"exercises/easy/ex2-type-checker.js",423,1,"",javascript,content
1595,6873673,"exercises/easy/ex2-type-checker.js",423,0," ",javascript,content
1596,6873702,"exercises/easy/ex2-type-checker.js",423,1,"",javascript,content
1597,6873730,"exercises/easy/ex2-type-checker.js",419,4,"",javascript,content
1598,6873763,"exercises/easy/ex2-type-checker.js",415,4,"",javascript,content
1599,6873787,"exercises/easy/ex2-type-checker.js",415,0,"utnr",javascript,content
1600,6873840,"exercises/easy/ex2-type-checker.js",413,6,"",javascript,content
1601,6873881,"exercises/easy/ex2-type-checker.js",413,0,"typeof obj.ibj;\n  typeof obj.arr;\n  typeof obj.sig;\n  typeof obj.num;\n  typeof obj.boo;\n  typeof obj.n;\n  typeof obj.und;\n  typeof obj.an;",javascript,content
1602,6873908,"exercises/easy/ex2-type-checker.js",401,1,"",javascript,content
1603,6873936,"exercises/easy/ex2-type-checker.js",395,6,"",javascript,content
1604,6873967,"exercises/easy/ex2-type-checker.js",275,1,"",javascript,content
1605,6873999,"exercises/easy/ex2-type-checker.js",310,1,"",javascript,content
1606,6874027,"exercises/easy/ex2-type-checker.js",328,1,"",javascript,content
1607,6874055,"exercises/easy/ex2-type-checker.js",349,1,"",javascript,content
1608,6874102,"exercises/easy/ex2-type-checker.js",371,1,"",javascript,content
1609,6874133,"exercises/easy/ex2-type-checker.js",365,6,"",javascript,content
1610,6875803,"exercises/easy/ex2-type-checker.js",343,6,"",javascript,content
1611,6876292,"exercises/easy/ex2-type-checker.js",322,6,"",javascript,content
1612,6876325,"exercises/easy/ex2-type-checker.js",304,6,"",javascript,content
1613,6876375,"exercises/easy/ex2-type-checker.js",269,6,"",javascript,content
1613,6876375,"exercises/easy/ex2-type-checker.js",269,6,"",javascript,content
1614,6876420,"exercises/easy/ex2-type-checker.js",250,6,"",javascript,content
1615,6876428,"exercises/easy/ex2-type-checker.js",235,1,"",javascript,content
1616,6876454,"exercises/easy/ex2-type-checker.js",234,1,"",javascript,content
1617,6876485,"exercises/easy/ex2-type-checker.js",229,5,"",javascript,content
1618,6876858,"exercises/easy/ex2-type-checker.js",493,2,"ibj",javascript,content
1618,6876858,"exercises/easy/ex2-type-checker.js",493,2,"ibj",javascript,content
1619,6876859,"exercises/easy/ex2-type-checker.js",482,15,"",javascript,content
1620,6878113,"exercises/easy/ex2-type-checker.js",482,0,"typeof obj.ibj;",javascript,content
1621,6878278,"exercises/easy/ex2-type-checker.js",493,3,"an",javascript,content
1622,6878439,"exercises/easy/ex2-type-checker.js",229,0," type",javascript,content
1623,6878589,"exercises/easy/ex2-type-checker.js",234,0,"o",javascript,content
1624,6879973,"exercises/easy/ex2-type-checker.js",234,1,"",javascript,content
1625,6880284,"exercises/easy/ex2-type-checker.js",229,5,"",javascript,content
1626,6884520,"exercises/easy/ex2-type-checker.js",355,0,"\n  ",javascript,content
1627,6885256,"exercises/easy/ex2-type-checker.js",358,0,"r",javascript,content
1628,6885400,"exercises/easy/ex2-type-checker.js",359,0,"e",javascript,content
1629,6885495,"exercises/easy/ex2-type-checker.js",360,0,"u",javascript,content
1630,6885637,"exercises/easy/ex2-type-checker.js",361,0,"t",javascript,content
1631,6885704,"exercises/easy/ex2-type-checker.js",362,0,"n",javascript,content
1632,6886304,"exercises/easy/ex2-type-checker.js",362,1,"",javascript,content
1633,6886396,"exercises/easy/ex2-type-checker.js",361,1,"",javascript,content
1634,6886537,"exercises/easy/ex2-type-checker.js",360,1,"",javascript,content
1635,6887108,"exercises/easy/ex2-type-checker.js",360,0,"t",javascript,content
1635,6887108,"exercises/easy/ex2-type-checker.js",360,0,"t",javascript,content
1635,6887108,"exercises/easy/ex2-type-checker.js",360,0,"t",javascript,content
1636,6887113,"exercises/easy/ex2-type-checker.js",361,0,"u",javascript,content
1637,6887114,"exercises/easy/ex2-type-checker.js",362,0,"r",javascript,content
1638,6887169,"exercises/easy/ex2-type-checker.js",363,0,"n",javascript,content
1639,6889115,"exercises/easy/ex2-type-checker.js",364,0,"{}",javascript,content
1640,6892789,"exercises/easy/ex2-type-checker.js",365,1,"",javascript,content
1641,6894680,"exercises/easy/ex2-type-checker.js",514,1,"",javascript,content
1642,6894978,"exercises/easy/ex2-type-checker.js",512,2,"",javascript,content
1643,6895335,"exercises/easy/ex2-type-checker.js",511,1,"",javascript,content
1644,6895972,"exercises/easy/ex2-type-checker.js",509,2,"",javascript,content
1645,6896600,"exercises/easy/ex2-type-checker.js",507,2,"  }",javascript,content
1646,6899773,"exercises/easy/ex2-type-checker.js",507,3,"    \n",javascript,content
1647,6900969,"exercises/easy/ex2-type-checker.js",512,0,"   ",javascript,content
1648,6901316,"exercises/easy/ex2-type-checker.js",365,0,"}",javascript,content
1649,6901604,"exercises/easy/ex2-type-checker.js",364,2,"",javascript,content
1650,6902240,"exercises/easy/ex2-type-checker.js",360,4,"",javascript,content
1651,6902426,"exercises/easy/ex2-type-checker.js",360,0,"utn",javascript,content
1652,6902464,"exercises/easy/ex2-type-checker.js",355,8,"",javascript,content
1653,6902496,"exercises/easy/ex2-type-checker.js",493,2,"ibj",javascript,content
1654,6902534,"exercises/easy/ex2-type-checker.js",482,15,"",javascript,content
1655,6902559,"exercises/easy/ex2-type-checker.js",479,3,"",javascript,content
1656,6902588,"exercises/easy/ex2-type-checker.js",475,3,"ibj",javascript,content
1657,6902619,"exercises/easy/ex2-type-checker.js",459,1,"ibj",javascript,content
1658,6902648,"exercises/easy/ex2-type-checker.js",441,3,"ibj",javascript,content
1659,6903264,"exercises/easy/ex2-type-checker.js",423,3,"",javascript,content
1660,6904200,"exercises/easy/ex2-type-checker.js",423,0,"ibj",javascript,content
1661,6904698,"exercises/easy/ex2-type-checker.js",405,3,"ibj",javascript,content
1662,6904748,"exercises/easy/ex2-type-checker.js",387,3,"",javascript,content
1663,6904783,"exercises/easy/ex2-type-checker.js",387,0,"ibj",javascript,content
1664,6904806,"exercises/easy/ex2-type-checker.js",466,15,"",javascript,content
1665,6904838,"exercises/easy/ex2-type-checker.js",463,3,"",javascript,content
1666,6904865,"exercises/easy/ex2-type-checker.js",448,15,"",javascript,content
1667,6904899,"exercises/easy/ex2-type-checker.js",445,3,"",javascript,content
1668,6908875,"exercises/easy/ex2-type-checker.js",229,0,"typeof",javascript,content
1669,6909693,"exercises/easy/ex2-type-checker.js",248,0,"typeof",javascript,content
1670,6910350,"exercises/easy/ex2-type-checker.js",267,0,"typeof",javascript,content
1671,6911173,"exercises/easy/ex2-type-checker.js",302,0,"typeof",javascript,content
1672,6911997,"exercises/easy/ex2-type-checker.js",320,0,"typeof",javascript,content
1673,6912925,"exercises/easy/ex2-type-checker.js",341,0,"typeof",javascript,content
1674,6913896,"exercises/easy/ex2-type-checker.js",363,0,"typeof",javascript,content
1675,6914918,"exercises/easy/ex2-type-checker.js",388,0,"typeof",javascript,content
1676,6917464,"exercises/easy/ex2-type-checker.js",213,3,"",javascript,content
1677,6917693,"exercises/easy/ex2-type-checker.js",213,0,"r",javascript,content
1678,6917885,"exercises/easy/ex2-type-checker.js",214,0,"e",javascript,content
1679,6917996,"exercises/easy/ex2-type-checker.js",215,0,"u",javascript,content
1680,6918106,"exercises/easy/ex2-type-checker.js",216,0,"t",javascript,content
1681,6918191,"exercises/easy/ex2-type-checker.js",217,0,"n",javascript,content
1682,6918270,"exercises/easy/ex2-type-checker.js",218,0,"r",javascript,content
1683,6918582,"exercises/easy/ex2-type-checker.js",218,1,"",javascript,content
1684,6918688,"exercises/easy/ex2-type-checker.js",217,1,"",javascript,content
1685,6918800,"exercises/easy/ex2-type-checker.js",216,1,"",javascript,content
1686,6919126,"exercises/easy/ex2-type-checker.js",216,0,"t",javascript,content
1687,6919402,"exercises/easy/ex2-type-checker.js",216,1,"",javascript,content
1688,6919520,"exercises/easy/ex2-type-checker.js",215,1,"",javascript,content
1689,6919607,"exercises/easy/ex2-type-checker.js",215,0,"t",javascript,content
1690,6919750,"exercises/easy/ex2-type-checker.js",216,0,"u",javascript,content
1691,6919863,"exercises/easy/ex2-type-checker.js",217,0,"r",javascript,content
1692,6919973,"exercises/easy/ex2-type-checker.js",218,0,"n",javascript,content
1693,6921711,"exercises/easy/ex2-type-checker.js",221,1,"",javascript,content
1694,6921891,"exercises/easy/ex2-type-checker.js",220,1,"",javascript,content
1695,6923311,"exercises/easy/ex2-type-checker.js",212,1,"",javascript,content
1696,6923488,"exercises/easy/ex2-type-checker.js",211,1,"",javascript,content
1697,6923821,"exercises/easy/ex2-type-checker.js",210,1,"",javascript,content
1698,6924235,"exercises/easy/ex2-type-checker.js",209,1,"",javascript,content
1699,6927301,"exercises/easy/ex2-type-checker.js",401,71,"",javascript,content
1700,6929037,"exercises/easy/ex2-type-checker.js",402,17,"",javascript,content
1701,6930858,"exercises/easy/ex2-type-checker.js",400,15,"",javascript,content
1702,6933104,"exercises/easy/ex2-type-checker.js",400,3,"",javascript,content
1703,6938493,"package.json",0,0,"{\n  ""name"": ""js-exercises"",\n  ""version"": ""1.0.0"",\n  ""description"": """",\n  ""main"": ""index.js"",\n  ""scripts"": {\n    ""test"": ""jest"",\n    ""test:watch"": ""jest --watch"",\n    ""test:easy"": ""jest tests/easy"",\n    ""test:medium"": ""jest tests/medium"",\n    ""test:hard"": ""jest tests/hard""\n  },\n  ""keywords"": [\n    ""javascript"",\n    ""beginner"",\n    ""exercises"",\n    ""jest""\n  ],\n  ""author"": """",\n  ""license"": ""ISC"",\n  ""devDependencies"": {\n    ""jest"": ""^29.7.0""\n  }\n}\n",json,tab
1704,6946269,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n  return {\n    ibj:typeof {},\n    arr:typeof [],\n    sig:typeof ""this is a string"",\n    num:typeof 5,\n    boo:typeof false,\n    n :typeof null,\n    und :typeof undefined,\n    an:typeof NaN\n  }\n\n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
1705,6955376,"tests/easy/ex2.test.js",0,0,"const showAllTypes = require('../../exercises/easy/ex2-type-checker');\n\ndescribe('Show All Types function', () => {\n  test('should return an object with all the types', () => {\n    const result = showAllTypes();\n    \n    expect(result).toHaveProperty('object');\n    expect(result).toHaveProperty('array');\n    expect(result).toHaveProperty('string');\n    expect(result).toHaveProperty('number');\n    expect(result).toHaveProperty('boolean');\n    expect(result).toHaveProperty('null');\n    expect(result).toHaveProperty('undefined');\n    expect(result).toHaveProperty('nan');\n    \n    expect(result.object).toBe('object');\n    expect(result.array).toBe('object');\n    expect(result.string).toBe('string');\n    expect(result.number).toBe('number');\n    expect(result.boolean).toBe('boolean');\n    expect(result.null).toBe('object');\n    expect(result.undefined).toBe('undefined');\n    expect(result.nan).toBe('number');\n  });\n});\n",javascript,tab
1706,6975181,"exercises/easy/ex1-hello-world.js",0,0,"function helloWorld() {\n  // write a function that prints ""Hello World!"" to the console\n  console.log(""Hello World!"");\n}\n\nmodule.exports = helloWorld;\n",javascript,tab
1707,6976056,"exercises/easy/ex2-type-checker.js",0,0,"function showAllTypes() {\n  /* Create a function that outputs the typeof for:\n  objects, arrays, strings, numbers, booleans, null, undefined, and NaN It should return an object containing all these types */\n  return {\n    ibj:typeof {},\n    arr:typeof [],\n    sig:typeof ""this is a string"",\n    num:typeof 5,\n    boo:typeof false,\n    n :typeof null,\n    und :typeof undefined,\n    an:typeof NaN\n  }\n\n}\n\nmodule.exports = showAllTypes;\n",javascript,tab
1708,6978339,"exercises/easy/ex2-type-checker.js",222,3,"",javascript,content
1709,6978527,"exercises/easy/ex2-type-checker.js",222,0,"o",javascript,content
1710,6978715,"exercises/easy/ex2-type-checker.js",223,0,"b",javascript,content
1711,6978819,"exercises/easy/ex2-type-checker.js",224,0,"j",javascript,content
1712,6978972,"exercises/easy/ex2-type-checker.js",225,0,"e",javascript,content
1713,6979147,"exercises/easy/ex2-type-checker.js",226,0,"c",javascript,content
1714,6979244,"exercises/easy/ex2-type-checker.js",227,0,"t",javascript,content
1715,6980097,"exercises/easy/ex2-type-checker.js",228,0," ",javascript,content
1716,6985696,"exercises/easy/ex2-type-checker.js",248,0,"a",javascript,content
1717,6985716,"exercises/easy/ex2-type-checker.js",249,0,"y",javascript,content
1718,6985880,"exercises/easy/ex2-type-checker.js",250,0," ",javascript,content
1719,6987678,"exercises/easy/ex2-type-checker.js",269,1,"",javascript,content
1720,6989159,"exercises/easy/ex2-type-checker.js",268,1,"",javascript,content
1721,6989305,"exercises/easy/ex2-type-checker.js",268,0,"t",javascript,content
1722,6989458,"exercises/easy/ex2-type-checker.js",269,0,"r",javascript,content
